pcd7,pcd8,pcds,dointr,doterm,usrtypind,east1m,north1m,gridind,oa21cd,cty25cd,ced25cd,lad25cd,wd25cd,nhser24cd,ctry25cd,rgn25cd,pcon24cd,ttwa15cd,itl25cd,npark16cd,lsoa21cd,msoa21cd,wz11cd,sicbl24cd,bua24cd,ruc21ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,icb23cd
"AL4 9JH","AL4  9JH","AL4 9JH","198001","","0","517799","0208838","1","E00120532","E10000015","E58000618","E07000240","E05015801","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023735","E02004930","E33027428","E38000079","E63011552","UN1","5A2",51.765844,-0.294339,"E37000048","","E23000027",30837,"E54000025"
"AL4 9JJ","AL4  9JJ","AL4 9JJ","198106","","0","517784","0208530","1","E00120534","E10000015","E58000618","E07000240","E05015801","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023735","E02004930","E33027428","E38000079","E63011552","UN1","5A2",51.763079,-0.294661,"E37000048","","E23000027",30837,"E54000025"
"AL4 9JL","AL4  9JL","AL4 9JL","198106","","0","517821","0208594","1","E00120534","E10000015","E58000618","E07000240","E05015801","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023735","E02004930","E33027428","E38000079","E63011552","UN1","5A2",51.763647,-0.294103,"E37000048","","E23000027",30837,"E54000025"
"AL4 9JN","AL4  9JN","AL4 9JN","198106","","0","517764","0208666","1","E00120534","E10000015","E58000618","E07000240","E05015801","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023735","E02004930","E33027428","E38000079","E63011552","UN1","5A2",51.764306,-0.294905,"E37000048","","E23000027",30837,"E54000025"
"AL4 9JP","AL4  9JP","AL4 9JP","198301","","0","517260","0209620","1","E00120529","E10000015","E58000618","E07000240","E05015801","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023734","E02004930","E33027428","E38000079","E63011552","UN1","5A2",51.772985,-0.301883,"E37000048","","E23000027",32585,"E54000025"
"AL4 9JQ","AL4  9JQ","AL4 9JQ","198001","","0","517772","0208936","1","E00120522","E10000015","E58000618","E07000240","E05015801","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023735","E02004930","E33027428","E38000079","E63011552","UN1","6B2",51.766731,-0.294697,"E37000048","","E23000027",30837,"E54000025"
"AL4 9JR","AL4  9JR","AL4 9JR","198301","","0","517234","0209695","1","E00120523","E10000015","E58000618","E07000240","E05015801","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023734","E02004930","E33027428","E38000079","E63011552","UN1","6A2",51.773665,-0.302234,"E37000048","","E23000027",32585,"E54000025"
"AL4 9JS","AL4  9JS","AL4 9JS","198301","","0","517349","0209700","1","E00120523","E10000015","E58000618","E07000240","E05015801","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023734","E02004930","E33027428","E38000079","E63011552","UN1","6A2",51.773686,-0.300566,"E37000048","","E23000027",32585,"E54000025"
"AL4 9JT","AL4  9JT","AL4 9JT","198301","","0","517258","0209563","1","E00120529","E10000015","E58000618","E07000240","E05015801","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023734","E02004930","E33027428","E38000079","E63011552","UN1","5A2",51.772474,-0.301931,"E37000048","","E23000027",32585,"E54000025"
"AL4 9JU","AL4  9JU","AL4 9JU","198301","","0","517190","0209612","1","E00120529","E10000015","E58000618","E07000240","E05015801","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023734","E02004930","E33027428","E38000079","E63011552","UN1","5A2",51.772928,-0.302899,"E37000048","","E23000027",32585,"E54000025"
"AL4 9JW","AL4  9JW","AL4 9JW","198301","","0","517309","0209780","1","E00120523","E10000015","E58000618","E07000240","E05015801","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023734","E02004930","E33027428","E38000079","E63011552","UN1","6A2",51.774413,-0.301119,"E37000048","","E23000027",32585,"E54000025"
"AL4 9JX","AL4  9JX","AL4 9JX","198301","","0","517239","0209734","1","E00120523","E10000015","E58000618","E07000240","E05015801","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023734","E02004930","E33027428","E38000079","E63011552","UN1","6A2",51.774014,-0.302148,"E37000048","","E23000027",32585,"E54000025"
"AL4 9JY","AL4  9JY","AL4 9JY","199501","199812","1","517154","0209258","6","E00120394","E10000015","E58000618","E07000240","E05015801","E40000013","E92000001","E12000006","E14001507","E30000237","E07000240","E65000001","E01023710","E02004931","E33027431","E38000079","E63011552","UN1","6A4",51.769754,-0.303540,"E37000048","","E23000027",32755,"E54000025"
"AL4 9JZ","AL4  9JZ","AL4 9JZ","199101","","0","517621","0209131","1","E00120531","E10000015","E58000618","E07000240","E05015801","E40000013","E92000001","E12000006","E14001268","E30000237","E07000240","E65000001","E01023735","E02004930","E33027428","E38000079","E63011552","UN1","5A3",51.768515,-0.296819,"E37000048","","E23000027",30837,"E54000025"
